datasetID,institutionCode,datasetName,scientificName,kingdom,phylum,genus,taxonRank,vernacularName,locality,countryCode,threatStatus,establishmentMeans,source,occurrenceRemarks,status
https://doi.org/10.15468/54nwog,INBO,"Non-validated red lists of Flanders, Belgium",Stenamma debile,Animalia,Arthropoda,Stenamma,species,Gewone drentelmier,Flanders,BE,LC,native,Dekoninck et al. (2003),Momenteel niet bedreigd,Least Concern (LC)
https://doi.org/10.15468/54nwog,INBO,"Non-validated red lists of Flanders, Belgium",Formica lusatica,Animalia,Arthropoda,Formica,species,Duinrenmier,Flanders,BE,DD,native,Dekoninck et al. (2003),Bedreigd maar mate waarin ongekend,Data Deficient (DD)
https://doi.org/10.15468/54nwog,INBO,"Non-validated red lists of Flanders, Belgium",Stenamma westwoodi,Animalia,Arthropoda,Stenamma,species,Engelse drentelmier,Flanders,BE,DD,native,Dekoninck et al. (2003),Bedreigd maar mate waarin ongekend,Data Deficient (DD)
https://doi.org/10.15468/54nwog,INBO,"Non-validated red lists of Flanders, Belgium",Strongylognathus testaceus,Animalia,Arthropoda,Strongylognathus,species,Sabelmier,Flanders,BE,EN,native,Dekoninck et al. (2003),Sterk bedreigd,Endangered (EN)
https://doi.org/10.15468/54nwog,INBO,"Non-validated red lists of Flanders, Belgium",Tapinoma ambiguum,Animalia,Arthropoda,Tapinoma,species,Heidedraaigatje,Flanders,BE,EN,native,Dekoninck et al. (2003),Sterk bedreigd,Endangered (EN)
https://doi.org/10.15468/54nwog,INBO,"Non-validated red lists of Flanders, Belgium",Tapinoma erraticum,Animalia,Arthropoda,Tapinoma,species,Mergeldraaigatje,Flanders,BE,CR,native,Dekoninck et al. (2003),Met uitsterven bedreigd,Critically Endangered (CR)
https://doi.org/10.15468/54nwog,INBO,"Non-validated red lists of Flanders, Belgium",Tetramorium caespitum,Animalia,Arthropoda,Tetramorium,species,Zwarte zaadmier,Flanders,BE,LC,native,Dekoninck et al. (2003),Momenteel niet bedreigd,Least Concern (LC)
https://doi.org/10.15468/54nwog,INBO,"Non-validated red lists of Flanders, Belgium",Tetramorium impurum,Animalia,Arthropoda,Tetramorium,species,Bruine zaadmier,Flanders,BE,LC,native,Dekoninck et al. (2003),Momenteel niet bedreigd,Least Concern (LC)
https://doi.org/10.15468/54nwog,INBO,"Non-validated red lists of Flanders, Belgium",Formica polyctena,Animalia,Arthropoda,Formica,species,Kale bosmier,Flanders,BE,VU,native,Dekoninck et al. (2003),Kwetsbaar,Vulnerable (VU)
https://doi.org/10.15468/54nwog,INBO,"Non-validated red lists of Flanders, Belgium",Formica pratensis,Animalia,Arthropoda,Formica,species,Zwartrugbosmier,Flanders,BE,VU,native,Dekoninck et al. (2003),Kwetsbaar,Vulnerable (VU)
https://doi.org/10.15468/54nwog,INBO,"Non-validated red lists of Flanders, Belgium",Formica rufa,Animalia,Arthropoda,Formica,species,Behaarde bosmier,Flanders,BE,VU,native,Dekoninck et al. (2003),Kwetsbaar,Vulnerable (VU)
https://doi.org/10.15468/54nwog,INBO,"Non-validated red lists of Flanders, Belgium",Formica rufa x polyctena,Animalia,Arthropoda,Formica,,hybride van Formica rufa-complex,Flanders,BE,DD,native,Dekoninck et al. (2003),Bedreigd maar mate waarin ongekend,Data Deficient (DD)
https://doi.org/10.15468/54nwog,INBO,"Non-validated red lists of Flanders, Belgium",Acrocephalus arundinaceus,Animalia,Chordata,Acrocephalus,species,Grote karekiet,Flanders,BE,CR,native,Devos and Anselin (1999),Met uitsterven bedreigd,Critically Endangered (CR)
https://doi.org/10.15468/54nwog,INBO,"Non-validated red lists of Flanders, Belgium",Botaurus stellaris,Animalia,Chordata,Botaurus,species,Roerdomp,Flanders,BE,CR,native,Devos and Anselin (1999),Met uitsterven bedreigd,Critically Endangered (CR)
https://doi.org/10.15468/54nwog,INBO,"Non-validated red lists of Flanders, Belgium",Caprimulgus europaeus,Animalia,Chordata,Caprimulgus,species,Nachtzwaluw,Flanders,BE,EN,native,Devos and Anselin (1999),Bedreigd,Endangered (EN)
https://doi.org/10.15468/54nwog,INBO,"Non-validated red lists of Flanders, Belgium",Carduelis spinus,Animalia,Chordata,Carduelis,species,Sijs,Flanders,BE,NT,native,Devos and Anselin (1999),Zeldzaam,Near Threatened (NT)
https://doi.org/10.15468/54nwog,INBO,"Non-validated red lists of Flanders, Belgium",Cettia cetti,Animalia,Chordata,Cettia,species,Cetti’s zanger,Flanders,BE,NT,native,Devos and Anselin (1999),Zeldzaam,Near Threatened (NT)
https://doi.org/10.15468/54nwog,INBO,"Non-validated red lists of Flanders, Belgium",Charadrius alexandrinus,Animalia,Chordata,Charadrius,species,Strandplevier,Flanders,BE,CR,native,Devos and Anselin (1999),Met uitsterven bedreigd,Critically Endangered (CR)
https://doi.org/10.15468/54nwog,INBO,"Non-validated red lists of Flanders, Belgium",Charadrius hiaticula,Animalia,Chordata,Charadrius,species,Bontbekplevier,Flanders,BE,NT,native,Devos and Anselin (1999),Zeldzaam,Near Threatened (NT)
