"Supplied Name","guid","scientificName","family","kingdom"
"Carex diandra","NBNSYS0000002466","Carex diandra","Cyperaceae","Plantae"
"Zannichellia palustris","NBNSYS0000002150","Zannichellia palustris","Potamogetonaceae","Plantae"
"Dactylorhiza maculata","NHMSYS0000457923","Dactylorhiza maculata","Orchidaceae","Plantae"
"Calamagrostis canescens","NHMSYS0000456750","Calamagrostis canescens","Poaceae","Plantae"
"Tilia platyphyllos","NBNSYS0000003127","Tilia platyphyllos","Malvaceae","Plantae"
"Gagea lutea","NHMSYS0000458926","Gagea lutea","Liliaceae","Plantae"
"Stellaria pallida","NHMSYS0000464011","Stellaria pallida","Caryophyllaceae","Plantae"
"Hieracium cinderella","NHMSYS0000840926","Hieracium cinderella","Asteraceae","Plantae"
"Ranunculus circinatus","NBNSYS0000002726","Ranunculus circinatus","Ranunculaceae","Plantae"
"Rumex hydrolapathum","NHMSYS0000462978","Rumex hydrolapathum","Polygonaceae","Plantae"
"Eleocharis multicaulis","NHMSYS0000458302","Eleocharis multicaulis","Cyperaceae","Plantae"
"Cirsium eriophorum","NBNSYS0000004489","Cirsium eriophorum","Asteraceae","Plantae"
"Carex disticha","NHMSYS0000456844","Carex disticha","Cyperaceae","Plantae"
"Huperzia selago","NHMSYS0000459776","Huperzia selago","Lycopodiaceae","Plantae"
"Logfia minima","NHMSYS0000458842","Filago minima","Asteraceae","Plantae"
"Sagittaria sagittifolia","NBNSYS0000002105","Sagittaria sagittifolia","Alismataceae","Plantae"
"Carex montana","NBNSYS0000002447","Carex montana","Cyperaceae","Plantae"
"Oreopteris limbosperma","NHMSYS0000461356","Oreopteris limbosperma","Thelypteridaceae","Plantae"
"Rhynchospora alba","NBNSYS0000002407","Rhynchospora alba","Cyperaceae","Plantae"
"Cynoglossum officinale","NBNSYS0000003980","Cynoglossum officinale","Boraginaceae","Plantae"
"Sphagnum tenellum","NHMSYS0000310701","Sphagnum tenellum","Sphagnaceae","Plantae"
"Veronica officinalis","NBNSYS0000004102","Veronica officinalis","Plantaginaceae","Plantae"
"Eleogiton fluitans","NBNSYS0000002392","Eleogiton fluitans","Cyperaceae","Plantae"
"Carex oederi","NHMSYS0000456911","Carex viridula subsp. viridula","Cyperaceae","Plantae"
"Polypodium cambricum","NBNSYS0000002086","Polypodium cambricum","Polypodiaceae","Plantae"
"Trichomanes speciosum","NBNSYS0000002028","Trichomanes speciosum","Hymenophyllaceae","Plantae"
"Carex hostiana","NBNSYS0000002415","Carex hostiana","Cyperaceae","Plantae"
"Lepidium heterophyllum","NBNSYS0000002830","Lepidium heterophyllum","Brassicaceae","Plantae"
"Origanum vulgare","NBNSYS0000004207","Origanum vulgare","Lamiaceae","Plantae"
"Sphagnum papillosum","NBNSYS0000036069","Sphagnum papillosum","Sphagnaceae","Plantae"
"Circaea x intermedia","NBNSYS0000161511","Circaea lutetiana x alpina = C. x intermedia","Onagraceae","Plantae"
"Rhytidiadelphus loreus","NBNSYS0000022281","Rhytidiadelphus loreus","Hylocomiaceae","Plantae"
"Rhodobryum roseum","NBNSYS0000036640","Rhodobryum roseum","Bryaceae","Plantae"
"Salix pentandra","NBNSYS0000003858","Salix pentandra","Salicaceae","Plantae"
"Lepidium campestre","NHMSYS0000460248","Lepidium campestre","Brassicaceae","Plantae"
"Carex lepidocarpa","NHMSYS0000456906","Carex viridula subsp. brachyrrhyncha","Cyperaceae","Plantae"
"Samolus valerandi","NBNSYS0000003947","Samolus valerandi","Primulaceae","Plantae"
"Achillea ptarmica","NBNSYS0000004453","Achillea ptarmica","Asteraceae","Plantae"
"Euphrasia micrantha","NHMSYS0000458669","Euphrasia micrantha","Orobanchaceae","Plantae"
"Potamogeton obtusifolius","NHMSYS0000461997","Potamogeton obtusifolius","Potamogetonaceae","Plantae"
"Carex sylvatica","NHMSYS0000456899","Carex sylvatica","Cyperaceae","Plantae"
"Betonica officinalis","NHMSYS0000463975","Stachys officinalis","Lamiaceae","Plantae"
"Carex canescens","NHMSYS0021128332","Carex canescens","Cyperaceae","Plantae"
"Carex pilulifera","NBNSYS0000002444","Carex pilulifera","Cyperaceae","Plantae"
"Ophioglossum vulgatum","NBNSYS0000002095","Ophioglossum vulgatum","Ophioglossaceae","Plantae"
"Poterium sanguisorba","NHMSYS0000462046","Poterium sanguisorba","Rosaceae","Plantae"
"Platanthera chlorantha","NHMSYS0000461774","Platanthera chlorantha","Orchidaceae","Plantae"
"Stachys arvensis","NBNSYS0000004231","Stachys arvensis","Lamiaceae","Plantae"
"Euphorbia amygdaloides","NBNSYS0000003741","Euphorbia amygdaloides","Euphorbiaceae","Plantae"
"Utricularia minor","NBNSYS0000004190","Utricularia minor","Lentibulariaceae","Plantae"
"Erophila majuscula","NHMSYS0000458580","Erophila majuscula","Brassicaceae","Plantae"
"Nardus stricta","NBNSYS0000002676","Nardus stricta","Poaceae","Plantae"
"Hypochaeris glabra","NBNSYS0000004519","Hypochaeris glabra","Asteraceae","Plantae"
"Equisetum sylvaticum","NBNSYS0000002020","Equisetum sylvaticum","Equisetaceae","Plantae"
"Sparganium natans","NBNSYS0000002368","Sparganium natans","Typhaceae","Plantae"
"Luzula sylvatica","NHMSYS0000460501","Luzula sylvatica","Juncaceae","Plantae"
"Sagina nodosa","NBNSYS0000003051","Sagina nodosa","Caryophyllaceae","Plantae"
"Galium odoratum","NBNSYS0000004306","Galium odoratum","Rubiaceae","Plantae"
"Juncus subnodulosus","NBNSYS0000002229","Juncus subnodulosus","Juncaceae","Plantae"
"Carex caryophyllea","NHMSYS0000456837","Carex caryophyllea","Cyperaceae","Plantae"
"Leontodon saxatilis","NBNSYS0000004524","Leontodon saxatilis","Asteraceae","Plantae"
"Salix cinerea","NBNSYS0000003871","Salix cinerea","Salicaceae","Plantae"
"Thymus pulegioides","NBNSYS0000004208","Thymus pulegioides","Lamiaceae","Plantae"
"Drosera rotundifolia","NBNSYS0000003519","Drosera rotundifolia","Droseraceae","Plantae"
"Nuphar pumila","NBNSYS0000002759","Nuphar pumila","Nymphaeaceae","Plantae"
"Chara hispida","NHMSYS0000494016","Chara hispida","Characeae","Plantae"
"Hyacinthoides non-scripta","NBNSYS0000002185","Hyacinthoides non-scripta","Asparagaceae","Plantae"
"Lathyrus linifolius","NHMSYS0000460181","Lathyrus linifolius","Fabaceae","Plantae"
"Juncus foliosus","NBNSYS0000002219","Juncus foliosus","Juncaceae","Plantae"
"Crepis paludosa","NBNSYS0000004578","Crepis paludosa","Asteraceae","Plantae"
"Dryopteris carthusiana","NHMSYS0000458183","Dryopteris carthusiana","Dryopteridaceae","Plantae"
"Carex pallescens","NBNSYS0000002434","Carex pallescens","Cyperaceae","Plantae"
"Cirsium dissectum","NBNSYS0000004496","Cirsium dissectum","Asteraceae","Plantae"
"Hordeum secalinum","NHMSYS0000459754","Hordeum secalinum","Poaceae","Plantae"
"Spiranthes spiralis","NHMSYS0000463932","Spiranthes spiralis","Orchidaceae","Plantae"
"Polystichum aculeatum","NBNSYS0000002074","Polystichum aculeatum","Dryopteridaceae","Plantae"
"Lysimachia tenella","NBNSYS0000003942","Anagallis tenella","Primulaceae","Plantae"
"Trollius europaeus","NBNSYS0000002692","Trollius europaeus","Ranunculaceae","Plantae"
"Molinia caerulea","NBNSYS0000002499","Molinia caerulea","Poaceae","Plantae"
"Carex pseudocyperus","NBNSYS0000002425","Carex pseudocyperus","Cyperaceae","Plantae"
"Dactylorhiza purpurella","NHMSYS0000457952","Dactylorhiza purpurella","Orchidaceae","Plantae"
"Thelypteris palustris","NBNSYS0000002081","Thelypteris palustris","Thelypteridaceae","Plantae"
"Colchicum autumnale","NBNSYS0000002189","Colchicum autumnale","Colchicaceae","Plantae"
"Vaccinium oxycoccos","NBNSYS0000003918","Vaccinium oxycoccos","Ericaceae","Plantae"
"Bidens tripartita","NBNSYS0000004355","Bidens tripartita","Asteraceae","Plantae"
"Hookeria lucens","NBNSYS0000036752","Hookeria lucens","Hookeriaceae","Plantae"
"Polystichum setiferum","NHMSYS0000461949","Polystichum setiferum","Dryopteridaceae","Plantae"
"Anacamptis morio","NHMSYS0000455893","Anacamptis morio","Orchidaceae","Plantae"
"Bromopsis benekenii","NBNSYS0000002573","Bromopsis benekenii","Poaceae","Plantae"
"Triglochin palustris","NBNSYS0000002120","Triglochin palustre","Juncaginaceae","Plantae"
"Geranium sylvaticum","NBNSYS0000003148","Geranium sylvaticum","Geraniaceae","Plantae"
"Rosa spinosissima","NHMSYS0000462483","Rosa spinosissima","Rosaceae","Plantae"
"Dryopteris cambrensis","NHMSYS0000458182","Dryopteris cambrensis","Dryopteridaceae","Plantae"
"Sphagnum magellanicum","NHMSYS0021239440","Sphagnum magellanicum","Sphagnaceae","Plantae"
"Vicia lathyroides","NBNSYS0000003295","Vicia lathyroides","Fabaceae","Plantae"
"Carex echinata","NBNSYS0000002482","Carex echinata","Cyperaceae","Plantae"
"Hypericum pulchrum","NBNSYS0000002966","Hypericum pulchrum","Hypericaceae","Plantae"
"Anacamptis pyramidalis","NBNSYS0000002347","Anacamptis pyramidalis","Orchidaceae","Plantae"
"Stellaria aquatica","NBNSYS0000003028","Myosoton aquaticum","Caryophyllaceae","Plantae"
"Eleocharis acicularis","NHMSYS0000458301","Eleocharis acicularis","Cyperaceae","Plantae"
"Euphrasia nemorosa","NBNSYS0000004155","Euphrasia nemorosa","Orobanchaceae","Plantae"
"Torilis nodosa","NHMSYS0000464493","Torilis nodosa","Apiaceae","Plantae"
"Callitriche hermaphroditica","NBNSYS0000003620","Callitriche hermaphroditica","Plantaginaceae","Plantae"
"Luzula pilosa","NBNSYS0000002239","Luzula pilosa","Juncaceae","Plantae"
"Anemone nemorosa","NBNSYS0000002700","Anemone nemorosa","Ranunculaceae","Plantae"
"Myosotis discolor","NBNSYS0000004013","Myosotis discolor","Boraginaceae","Plantae"
"Cerastium semidecandrum","NBNSYS0000003027","Cerastium semidecandrum","Caryophyllaceae","Plantae"
"Erodium maritimum","NHMSYS0000458573","Erodium maritimum","Geraniaceae","Plantae"
"Tilia cordata","NHMSYS0000464454","Tilia cordata","Malvaceae","Plantae"
"Agrimonia procera","NBNSYS0000003367","Agrimonia procera","Rosaceae","Plantae"
"Stellaria neglecta","NBNSYS0000003034","Stellaria neglecta","Caryophyllaceae","Plantae"
"Succisa pratensis","NBNSYS0000004352","Succisa pratensis","Caprifoliaceae","Plantae"
"Trisetum flavescens","NHMSYS0000464618","Trisetum flavescens","Poaceae","Plantae"
"Gnaphalium sylvaticum","NBNSYS0000004408","Gnaphalium sylvaticum","Asteraceae","Plantae"
"Ranunculus arvensis","NBNSYS0000002712","Ranunculus arvensis","Ranunculaceae","Plantae"
"Scutellaria galericulata","NBNSYS0000004259","Scutellaria galericulata","Lamiaceae","Plantae"
"Alisma lanceolatum","NBNSYS0000002102","Alisma lanceolatum","Alismataceae","Plantae"
"Campanula latifolia","NBNSYS0000004282","Campanula latifolia","Campanulaceae","Plantae"
"Polygala serpyllifolia","NHMSYS0000461832","Polygala serpyllifolia","Polygalaceae","Plantae"
"Veronica anagallis-aquatica","NBNSYS0000004097","Veronica anagallis-aquatica","Plantaginaceae","Plantae"
"Daphne laureola","NBNSYS0000003531","Daphne laureola","Thymelaeaceae","Plantae"
"Calluna vulgaris","NBNSYS0000003902","Calluna vulgaris","Ericaceae","Plantae"
"Orchis mascula","NBNSYS0000002326","Orchis mascula","Orchidaceae","Plantae"
"Lysimachia vulgaris","NBNSYS0000003936","Lysimachia vulgaris","Primulaceae","Plantae"
"Melica nutans","NBNSYS0000002569","Melica nutans","Poaceae","Plantae"
"Equisetum fluviatile","NBNSYS0000002016","Equisetum fluviatile","Equisetaceae","Plantae"
"Sphagnum quinquefarium","NHMSYS0000310684","Sphagnum quinquefarium","Sphagnaceae","Plantae"
"Viola hirta","NBNSYS0000002926","Viola hirta","Violaceae","Plantae"
"Stachys palustris","NBNSYS0000004234","Stachys palustris","Lamiaceae","Plantae"
